country,state,city,station,last_update,pollutant_id,latitude,longitude,pollutant_min,pollutant_max,pollutant_avg,pollution_avg
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",01-06-2026 17:00:00,SO2,21.8004996,83.8396977,24.0,25.0,25.0,24.85
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",01-06-2026 17:00:00,NH3,29.14056,75.744941,6.0,6.0,6.0,6.02
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",01-06-2026 17:00:00,PM2.5,28.422681,77.148944,21.0,106.0,47.0,51.13
India,Madhya Pradesh,Ujjain,"Mahashweta Nagar, Ujjain - MPPCB",01-06-2026 17:00:00,NH3,23.1633321,75.800225,4.0,9.0,7.0,6.12
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",01-06-2026 17:00:00,SO2,22.629801,88.352017,5.0,26.0,12.0,11.64
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",01-06-2026 17:00:00,CO,29.6953,77.0027,12.0,16.0,13.0,14.21
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",01-06-2026 17:00:00,PM2.5,28.2068,76.7997,57.0,265.0,119.0,98.85
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",01-06-2026 17:00:00,SO2,17.65439,75.90649,19.986568166554736,56.69778374748153,35.03962390866353,35.10883143049024
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",01-06-2026 17:00:00,NO2,28.60909,77.0325413,34.0,96.0,61.0,61.03
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",01-06-2026 17:00:00,SO2,14.438164,79.966814,8.0,10.0,9.0,8.92
India,Uttar_Pradesh,Khora,"Prashant Garden, Khora - UPPCB",01-06-2026 17:00:00,OZONE,28.61119,77.34206,51.0,221.0,211.0,153.48
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",01-06-2026 17:00:00,SO2,22.5687319,88.2797276,9.0,52.0,18.0,24.94
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",01-06-2026 17:00:00,OZONE,25.859655,85.77944,6.0,15.0,8.0,10.06
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",01-06-2026 17:00:00,PM10,25.339605,74.618883,82.0,153.0,108.0,121.06
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",01-06-2026 17:00:00,PM10,30.9028,75.8086,55.0,79.0,61.0,67.15
India,Madhya Pradesh,Ujjain,"Mahashweta Nagar, Ujjain - MPPCB",01-06-2026 17:00:00,NO2,23.1633321,75.800225,15.0,40.0,33.0,24.27
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",01-06-2026 17:00:00,NO2,28.5918245,77.2273074,7.0,24.0,15.0,14.33
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",01-06-2026 17:00:00,SO2,26.259242,78.216432,9.0,14.0,12.0,11.43
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",01-06-2026 17:00:00,CO,25.42742023,86.13886079,11.0,21.0,16.0,15.2
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",01-06-2026 17:00:00,PM2.5,31.62,74.876512,79.0,109.0,91.0,94.32
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",01-06-2026 17:00:00,PM10,22.06631475,83.33820077,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",01-06-2026 17:00:00,OZONE,22.6025571,88.3105664,15.0,79.0,64.0,51.75
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB",01-06-2026 17:00:00,CO,26.159933,75.780517,15.0,30.0,24.0,19.48
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB",01-06-2026 17:00:00,PM2.5,26.159933,75.780517,33.0,70.0,50.0,49.97
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",01-06-2026 17:00:00,OZONE,21.224231,81.40835,23.0,26.0,24.0,24.97
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB",01-06-2026 17:00:00,PM2.5,19.265594,76.761463,25.0,51.0,38.0,36.33
